artist,track,play_count
ScHoolboy Q,JoHn Muir,11
Special Request,Pineal Gland,11
Sufjan Stevens,Chicago,11
The Fall,Middle Mass,11
Tim Hecker,This life,11
Young Thug,It's A Slime (feat. Lil Uzi Vert),11
Yves Tumor,Let The Lioness In You Flow Freely,11
070 Shake,Morrow,10
Ab-Soul,Beat the Case (feat. ScHoolboy Q) / / / Straight Crooked,10
Adrianne Lenker,cradle,10
Aleksi Perälä,NL-L56-18-07442,10
ana roxanne,Immortality,10
ana roxanne,Slowness,10
Angel Olsen,Intern,10
Animal Collective,Amazonawana / Anaconda Opportunity,10
Animal Collective,Leaf House,10
Animal Collective,Tikwid,10
Animal Collective,Who Could Win a Rabbit,10
Aphex Twin,1st 44,10
Aphex Twin,4,10
Aphex Twin,MT1 t29r2,10
Aphex Twin,Peek 824545201,10
Big Thief,Pretty Things,10
Boards of Canada,A Is to B as B Is to C,10
Boards of Canada,Kaini Industries,10
Bogdan Raczynski,156 s2n,10
Broadcast,Come on Let's Go,10
Caleb Giles,Sunshine,10
Caroline Polachek,I Give Up,10
Caroline Polachek,Insomnia,10
